glyph_name,ps_name,sort_final,sort_g,sort_ssp
.notdef,.notdef,1000,2000,1
space,space,1001,2001,2
A,A,1002,2002,3
B,B,1003,2003,4
C,C,1004,2004,5
D,D,1005,2005,6
E,E,1006,2006,7
F,F,1007,2007,8
G,G,1008,2008,9
H,H,1009,2009,10
I,I,1010,2010,11
J,J,1011,2011,12
K,K,1012,2012,13
L,L,1013,2013,14
M,M,1014,2014,15
N,N,1015,2015,16
O,O,1016,2016,17
P,P,1017,2017,18
Q,Q,1018,2018,19
R,R,1019,2019,20
S,S,1020,2020,21
T,T,1021,2021,22
U,U,1022,2022,23
V,V,1023,2023,24
W,W,1024,2024,25
X,X,1025,2025,26
Y,Y,1026,2026,27
Z,Z,1027,2027,28
a,a,1028,2028,29
b,b,1029,2029,30
c,c,1030,2030,31
d,d,1031,2031,32
e,e,1032,2032,33
f,f,1033,2033,34
g,g,1034,2034,35
h,h,1035,2035,36
i,i,1036,2036,37
j,j,1037,2037,38
k,k,1038,2038,39
l,l,1039,2039,40
m,m,1040,2040,41
n,n,1041,2041,42
o,o,1042,2042,43
p,p,1043,2043,44
q,q,1044,2044,45
r,r,1045,2045,46
s,s,1046,2046,47
t,t,1047,2047,48
u,u,1048,2048,49
v,v,1049,2049,50
w,w,1050,2050,51
x,x,1051,2051,52
y,y,1052,2052,53
z,z,1053,2053,54
Agrave,Agrave,1054,2054,55
Aacute,Aacute,1055,2055,56
Acircumflex,Acircumflex,1056,2056,57
Atilde,Atilde,1057,2057,58
Adieresis,Adieresis,1058,2058,59
Amacron,Amacron,1059,2059,60
Abreve,Abreve,1060,2060,61
Abreveacute,Abreveacute,1061,2061,62
Abrevedotbelow,Abrevedotbelow,1062,2062,63
Abrevegrave,Abrevegrave,1063,2063,64
Abrevehoi,Abrevehoi,1064,2064,65
Abrevetilde,Abrevetilde,1065,2065,66
Acaron,Acaron,1066,2066,67
Acircumflexacute,Acircumflexacute,1067,2067,68
Acircumflexdotbelow,Acircumflexdotbelow,1068,2068,69
Acircumflexgrave,Acircumflexgrave,1069,2069,70
Acircumflexhoi,Acircumflexhoi,1070,2070,71
Acircumflextilde,Acircumflextilde,1071,2071,72
Adotbelow,Adotbelow,1072,2072,73
Ahoi,uni1EA2,1073,2073,74
Aring,Aring,1074,2074,75
Aogonek,Aogonek,1075,2075,76
AE,AE,1076,2076,77
Ccedilla,Ccedilla,1077,2077,78
Cacute,Cacute,1078,2078,79
Ccaron,Ccaron,1079,2079,80
Ccircumflex,Ccircumflex,1080,2080,81
Cdotaccent,Cdotaccent,1081,2081,82
Dcaron,Dcaron,1082,2082,83
Dcroat,Dcroat,1083,2083,84
Ddotbelow,uni1E0C,1084,2084,85
Dlinebelow,uni1E0E,1085,2085,86
Egrave,Egrave,1086,2086,87
Eacute,Eacute,1087,2087,88
Ecircumflex,Ecircumflex,1088,2088,89
Ecaron,Ecaron,1089,2089,90
Edieresis,Edieresis,1090,2090,91
Emacron,Emacron,1091,2091,92
Edotaccent,Edotaccent,1092,2092,93
Eogonek,Eogonek,1093,2093,94
Ebreve,Ebreve,1094,2094,95
Ecircumflexacute,uni1EBE,1095,2095,96
Ecircumflexdotbelow,uni1EC6,1096,2096,97
Ecircumflexgrave,uni1EC0,1097,2097,98
Ecircumflexhoi,uni1EC2,1098,2098,99
Ecircumflextilde,uni1EC4,1099,2099,100
Edotbelow,uni1EB8,1100,2100,101
Ehoi,uni1EBA,1101,2101,102
Etilde,uni1EBC,1102,2102,103
Gbreve,Gbreve,1103,2103,104
Gdotaccent,Gdotaccent,1104,2104,105
Gcommaaccent,uni0122,1105,2105,106
Gcaron,Gcaron,1106,2106,107
Gcircumflex,Gcircumflex,1107,2107,108
Gmacron,uni1E20,1108,2108,109
Gtilde,uni00470303,1109,2109,110
Hbar,Hbar,1110,2110,111
Hbrevebelow,uni1E2A,1111,2111,112
Hcircumflex,Hcircumflex,1112,2112,113
Hdotbelow,uni1E24,1113,2113,114
Igrave,Igrave,1114,2114,115
Iacute,Iacute,1115,2115,116
Icircumflex,Icircumflex,1116,2116,117
Idieresis,Idieresis,1117,2117,118
Imacron,Imacron,1118,2118,119
Idotaccent,Idotaccent,1119,2119,120
Iogonek,Iogonek,1120,2120,121
Icaron,uni01CF,1121,2121,122
Idotbelow,uni1ECA,1122,2122,123
Ihoi,uni1EC8,1123,2123,124
Itilde,Itilde,1124,2124,125
Jcircumflex,Jcircumflex,1125,2125,126
Kcommaaccent,uni0136,1126,2126,127
Lacute,Lacute,1127,2127,128
Lcaron,Lcaron,1128,2128,129
Lcommaaccent,uni013B,1129,2129,130
Ldot,Ldot,1130,2130,131
Ldotbelow,uni1E36,1131,2131,132
Ldotbelowmacron,uni1E38,1132,2132,133
Llinebelow,uni1E3A,1133,2133,134
Lslash,Lslash,1134,2134,135
Macute,uni1E3E,1135,2135,136
Mdotbelow,uni1E42,1136,2136,137
Nacute,Nacute,1137,2137,138
Ncaron,Ncaron,1138,2138,139
Ngrave,uni01F8,1139,2139,140
Ntilde,Ntilde,1140,2140,141
Ncommaaccent,uni0145,1141,2141,142
Ndotaccent,uni1E44,1142,2142,143
Ndotbelow,uni1E46,1143,2143,144
Nlinebelow,uni1E48,1144,2144,145
Ograve,Ograve,1145,2145,146
Oacute,Oacute,1146,2146,147
Obreve,uni014E,1147,2147,148
Ocircumflex,Ocircumflex,1148,2148,149
Otilde,Otilde,1149,2149,150
Odieresis,Odieresis,1150,2150,151
Omacron,Omacron,1151,2151,152
Ohungarumlaut,Ohungarumlaut,1152,2152,153
Ocaron,uni01D1,1153,2153,154
Ocircumflexacute,uni1ED0,1154,2154,155
Ocircumflexdotbelow,uni1ED8,1155,2155,156
Ocircumflexgrave,uni1ED2,1156,2156,157
